subject_nr,correct,id,stim_type,response_time,block_id,age,gender,PT
10,0,69,c,469,150,24,h,150
10,0,9,d,449,150,24,h,150
10,1,42,b,590,150,24,h,150
10,1,48,b,684,150,24,h,150
10,1,26,a,392,150,24,h,150
10,1,15,e,830,150,24,h,150
10,1,50,b,591,150,24,h,150
10,1,46,b,529,150,24,h,150
10,1,32,a,530,150,24,h,150
10,0,64,c,625,150,24,h,150
10,1,60,c,558,150,24,h,150
10,1,prc6,b,4048,urprc,24,h,ur
10,1,prc7,c,1029,urprc,24,h,ur
10,1,prc1,d,1256,urprc,24,h,ur
10,1,prc2,e,1449,urprc,24,h,ur
10,1,prc3,a,1199,urprc,24,h,ur
10,1,prc5,b,1186,urprc,24,h,ur
10,1,prc8,c,859,urprc,24,h,ur
10,1,prc4,a,797,urprc,24,h,ur
10,0,64,c,1012,ur,24,h,ur
10,1,8,d,925,ur,24,h,ur
10,1,65,c,838,ur,24,h,ur
10,1,17,e,585,ur,24,h,ur
10,1,5,d,1040,ur,24,h,ur
10,1,62,c,822,ur,24,h,ur
10,1,32,a,601,ur,24,h,ur
10,1,25,a,916,ur,24,h,ur
10,1,1,d,875,ur,24,h,ur
10,1,54,b,852,ur,24,h,ur
10,1,16,e,652,ur,24,h,ur
10,1,47,b,958,ur,24,h,ur
10,1,42,b,1021,ur,24,h,ur
10,1,50,b,939,ur,24,h,ur
10,1,7,d,860,ur,24,h,ur
10,1,15,e,915,ur,24,h,ur
10,1,57,c,902,ur,24,h,ur
10,1,12,e,824,ur,24,h,ur
10,1,52,b,661,ur,24,h,ur
10,1,67,c,960,ur,24,h,ur
10,1,55,c,989,ur,24,h,ur
10,1,58,c,737,ur,24,h,ur
10,1,71,c,687,ur,24,h,ur
10,1,40,b,746,ur,24,h,ur
10,1,31,a,734,ur,24,h,ur
10,1,18,e,730,ur,24,h,ur
10,1,9,d,663,ur,24,h,ur
10,1,4,d,578,ur,24,h,ur
10,1,56,c,1624,ur,24,h,ur
10,1,35,a,723,ur,24,h,ur
10,1,43,b,808,ur,24,h,ur
10,1,24,a,711,ur,24,h,ur
10,1,2,d,1336,ur,24,h,ur
10,0,39,b,933,ur,24,h,ur
