part,age,key,sex,style,stim,hemifield,response,rt
85,24,Right,male,Abstract,263ABSTRACTO,Right,1,219
85,24,Right,male,Representational,311REALISTA,Left,0,272
85,24,Right,male,Representational,197POSTIMPRES,Left,1,289
85,24,Right,male,Representational,173REALISTA,Right,1,340
85,24,Right,male,Representational,105REALISTA,Right,1,40
85,24,Right,male,Representational,219IMPRESION,Left,1,215
85,24,Right,male,Abstract,129ABSTRACTO,Left,1,240
85,24,Right,male,Abstract,367ABSTRACTO,Right,1,505
85,24,Right,male,Representational,116REALISTA,Right,1,215
85,24,Right,male,Representational,130IMPRESION,Left,1,257
85,24,Right,male,Representational,179IMPRESION,Left,1,186
85,24,Right,male,Representational,278POSTIMPRES,Right,0,193
85,24,Right,male,Representational,303REALISTA,Left,1,269
85,24,Right,male,Representational,177REALISTA,Right,0,360
85,24,Right,male,Abstract,008ABSTRACTO,Right,1,62
85,24,Right,male,Abstract,322ABSTRACTO,Right,1,195
85,24,Right,male,Representational,385POSTIMPRES,Left,1,180
85,24,Right,male,Representational,179IMPRESION,Right,1,147
85,24,Right,male,Representational,016POSTIMPRES,Left,1,286
85,24,Right,male,Abstract,236ABSTRACTO,Left,1,558
85,24,Right,male,Abstract,089ABSTRACTO,Right,1,451
85,24,Right,male,Representational,389POSTIMPRES,Left,1,581
85,24,Right,male,Abstract,368ABSTRACTO,Right,1,192
85,24,Right,male,Representational,197POSTIMPRES,Right,0,527
85,24,Right,male,Abstract,293ABSTRACTO,Right,0,174
85,24,Right,male,Representational,274REALISTA,Right,0,240
85,24,Right,male,Representational,216POSTIMPRES,Left,1,285
85,24,Right,male,Representational,010REALISTA,Right,1,191
85,24,Right,male,Representational,254IMPRESION,Right,1,137
85,24,Right,male,Abstract,146ABSTRACTO,Right,1,463
85,24,Right,male,Abstract,351ABSTRACTO,Right,0,171
85,24,Right,male,Abstract,263ABSTRACTO,Left,1,369
85,24,Right,male,Abstract,367ABSTRACTO,Left,1,309
85,24,Right,male,Representational,266POSTIMPRES,Right,0,126
85,24,Right,male,Representational,287REALISTA,Left,1,354
85,24,Right,male,Abstract,212ABSTRACTO,Right,0,108
85,24,Right,male,Abstract,129ABSTRACTO,Right,1,117
85,24,Right,male,Representational,280REALISTA,Left,1,50
85,24,Right,male,Abstract,118ABSTRACTO,Left,0,150
85,24,Right,male,Representational,101IMPRESION,Right,1,46
17,28,Right,female,Representational,043REALISTA,Left,1,950
17,28,Right,female,Representational,179IMPRESION,Left,1,432
17,28,Right,female,Abstract,343ABSTRACTO,Left,1,393
17,28,Right,female,Abstract,367ABSTRACTO,Left,1,409
17,28,Right,female,Abstract,110ABSTRACTO,Left,1,436
17,28,Right,female,Abstract,099ABSTRACTO,Left,0,578
17,28,Right,female,Representational,219IMPRESION,Left,1,443
17,28,Right,female,Abstract,184ABSTRACTO,Left,1,244
17,28,Right,female,Abstract,188ABSTRACTO,Right,0,336
17,28,Right,female,Abstract,322ABSTRACTO,Left,1,514
17,28,Right,female,Abstract,098ABSTRACTO,Left,0,328
17,28,Right,female,Abstract,351ABSTRACTO,Left,0,393
17,28,Right,female,Abstract,363ABSTRACTO,Right,0,381
17,28,Right,female,Representational,350REALISTA,Left,1,312
17,28,Right,female,Representational,389POSTIMPRES,Right,0,271
17,28,Right,female,Representational,069POSTIMPRES,Left,1,406
17,28,Right,female,Representational,266POSTIMPRES,Right,0,439
17,28,Right,female,Abstract,236ABSTRACTO,Left,0,488
17,28,Right,female,Abstract,169ABSTRACTO,Right,0,338
17,28,Right,female,Abstract,362ABSTRACTO,Right,0,355
17,28,Right,female,Representational,062REALISTA,Left,0,430
17,28,Right,female,Abstract,084ABSTRACTO,Right,1,413
17,28,Right,female,Abstract,359ABSTRACTO,Right,0,466
17,28,Right,female,Abstract,230ABSTRACTO,Left,0,489
17,28,Right,female,Representational,159REALISTA,Left,0,709
17,28,Right,female,Abstract,348ABSTRACTO,Right,0,315
17,28,Right,female,Representational,177REALISTA,Right,0,710
17,28,Right,female,Representational,280REALISTA,Left,0,469
17,28,Right,female,Representational,311REALISTA,Left,0,613
17,28,Right,female,Abstract,118ABSTRACTO,Left,0,513
17,28,Right,female,Representational,071POSTIMPRES,Right,1,400
17,28,Right,female,Abstract,343ABSTRACTO,Right,0,529
17,28,Right,female,Representational,079POSTIMPRES,Right,1,547
17,28,Right,female,Abstract,322ABSTRACTO,Right,0,509
17,28,Right,female,Abstract,180ABSTRACTO,Right,0,303
17,28,Right,female,Representational,016POSTIMPRES,Left,0,468
17,28,Right,female,Abstract,262ABSTRACTO,Left,0,503
